    5 11332010
    5 21322001
    5 32322016
    6 12332007
    6 22222011
    9 11322016
   28 11332006
   28 22222006
   28 31322006
   28 42322007
   28 52322007
   28 61222007
   28 71322006
   28 81222006
   28 91222006
   28101322009
   28112222009
   28121322007
   28131222006
   28142222013
   28152222013
   34 11312016
   34 22312016
   34 31212016
   34 42112015
   34 51112015
   37 11322018
   37 21322018
   37 31222018
   37 42222018
   37 51222018
   37 61222017
   37 72322017
   38 12332010
   38 22222003
   38 32222010
   38 41222013
   38 52222013
   38 61222010
   38 72222008
   38 82222008
   43 11312011
   43 22312016
   50 12332017
   50 21322017
   50 32322017
   50 41322017
   50 51322017
   50 61322017
   50 72322017
   50 82222005
   50 92222005
   50101222005
   50112222005
   50122222005
   50132222005
   50142322017
   50151222005
   50162222005
   50172222005
   50182222005
   50192222005
   50202322005
   50212222005
   50222222005
   50232222005
   50242222005
   50252322005
   50262222005
   51 11322014
   51 22222014
   56 12339998
   56 21221994
   56 32221994
   56 42222007
   56 51221998
   56 62211998
   62 12332010
   62 22222010
   62 32222003
   62 42222003
   62 51222010
   62 62222007
   62 72322010
   65 12332017
   65 21222014
   65 32322015
   65 42222014
   65 52222014
   65 62222014
   65 71222014
   65 81322014
   65 91222014
   65101222014
   65112222014
   65121222014
   65132222014
   65142222014
   65151322014
   65162222014
   65172322014
   65182222014
   65192222014
   65202222014
   65211222014
   65222222014
   65232222014
   65241222014
   65251222014
   65261222014
   65272122014
   65282322014
   65291222014
   65302222014
   67 12332017
   67 22222017
   67 32222017
   67 42222017
   67 52222017
   67 62222017
   67 71222017
   67 81222017
   67 92222017
   67101222017
   67112222017
   67121222017
   67132222017
   67141222017
   67151222017
   67161222017
   68 12332017
   69 12312004
   69 22212008
   76 11331984
   76 21211987
   76 31112010
   76 41212012
   79 12331995
   79 22221999
   79 32221995
   79 42221995
   82 12319999
   82 22219999
   82 32219999
   82 41219999
   82 51219999
   82 61219999
   82 72219999
   82 81219999
   82 91219999
   82101219999
   83 12332016
   83 21222008
   85 12332014
   85 21322014
   85 32322014
   85 42222014
   85 51322014
   85 61322014
   85 71222014
   85 82322014
   85 91322014
   85101322014
   85112222014
   85122322014
   85132322014
   85142322014
   85152322014
   85161322014
   89 11322016
   89 22322016
   89 31322016
   89 41322016
   98 12312017
   99 11332016
   99 22222003
   99 32222010
   99 42222010
   99 52322016
   99 62322017
   99 72222009
   99 82322017
  106 12331994
  106 22222003
  106 31222003
  106 41222001
  106 52221996
  113 12332012
  113 22212015
  113 32222005
  113 42222005
  113 52222005
  113 61222010
  113 71222005
  113 82222005
  113 92222005
  113102222005
  113111222005
  113122222005
  113132222005
  113142222005
  113152222005
  113162222005
  113172222005
  113182222005
  113192222005
  113202222014
  113212222005
  113222222006
  113232222005
  113242222005
  113252222005
  113262222005
  113272222005
  113281222013
  113292222008
  113302222016
  116 12332016
  116 22222016
  116 32222016
  116 42222016
  117 11311998
  117 21222017
  123 12332006
  123 22212005
  123 32312015
  123 42312014
  123 52312006
  123 62212015
  127 12332014
  127 22212016
  127 31212015
  127 42212017
  127 52312017
  127 62212017
  129 12322015
  129 22222015
  129 32322015
  129 42322015
  129 52322015
  129 62322015
  129 72322015
  129 82322015
  134 12322016
  134 21322016
  134 32322016
  134 41322016
  134 51322016
  134 61322016
  134 72322016
  134 81322016
  137 12332013
  137 21222013
  137 32222013
  137 42322013
  137 51222013
  137 62222013
  137 72222013
  137 81222013
  137 92322013
  137102222013
  137111222013
